City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sinnamary,GF,79.5,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
3,Namibe,AO,78.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
12,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
15,Rikitea,PF,76.62,light rain,-23.1203,-134.9692,Pension Maro'i
17,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Georgetown,MY,84.99,heavy intensity rain,5.4112,100.3354,Cititel Penang
20,Kieta,PG,77.81,light rain,-6.2167,155.6333,Uruna Bay Retreat
23,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
24,Iralaya,HN,77.0,light intensity drizzle,15.0,-83.2333,Iglesia morava renovada
26,Atuona,PF,80.4,broken clouds,-9.8,-139.0333,Villa Enata
29,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Kavieng,PG,77.88,light rain,-2.5744,150.7967,Nusa Island Retreat
34,Lorengau,PG,80.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Matara,LK,76.73,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
42,Bac Lieu,VN,81.52,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
43,Wilmington,US,71.01,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
45,Gemena,CD,79.97,overcast clouds,3.25,19.7667,Hôtel Goshen
46,Cape Town,ZA,70.0,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
48,Bumba,CD,78.3,overcast clouds,2.1833,22.4667,Hôtel Cape Town
49,Mount Isa,AU,71.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
50,Hithadhoo,MV,83.93,broken clouds,-0.6,73.0833,Scoop Guest House
57,Carnarvon,AU,77.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Alyangula,AU,78.78,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
69,Soyo,AO,80.46,overcast clouds,-6.1349,12.3689,Hotel Mpampa
70,Liku,ID,75.56,heavy intensity rain,-0.7275,119.8922,Kost Raisa & homestay
71,Mandera,KE,81.0,moderate rain,3.9366,41.867,Kornesh Hotel and Lodging
73,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
78,San Patricio,US,80.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Mahebourg,MU,81.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
87,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
90,Castro,BR,73.27,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
95,General Roca,AR,82.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
96,Faanui,PF,81.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Saint-Paul,RE,78.8,scattered clouds,-21.0096,55.2707,Boucan Canot
102,Kapaa,US,73.4,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
106,Namatanai,PG,77.76,moderate rain,-3.6667,152.4333,Namatanai Hotel
108,Kefamenanu,ID,72.91,light rain,-9.4467,124.4781,Sokowindo Losmen
110,Eirunepe,BR,81.95,overcast clouds,-6.6603,-69.8736,Atrás de você
111,Cayenne,GF,80.6,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
112,Antofagasta,CL,73.99,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
115,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
