City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,La Rioja,ES,42.25,-2.5,60.8,36,0,9.22,clear sky
1,Sinnamary,GF,5.3833,-52.95,79.5,85,100,10.31,light rain
2,Chipata,ZM,-13.6333,32.65,64.44,89,53,5.5,broken clouds
3,Namibe,AO,-15.1961,12.1522,78.53,87,98,9.71,overcast clouds
4,Hasaki,JP,35.7333,140.8333,64.4,94,75,6.91,broken clouds
5,Puquio,PE,-14.7,-74.1333,59.47,64,99,6.38,overcast clouds
6,Busselton,AU,-33.65,115.3333,63.0,91,0,1.01,clear sky
7,Hermanus,ZA,-34.4187,19.2345,68.0,87,85,13.02,light rain
8,Havre,FR,49.5833,0.3333,44.6,81,0,8.05,clear sky
9,Lundazi,ZM,-12.2929,33.1782,65.03,96,68,6.64,broken clouds
10,Biu,NG,10.6129,12.1946,87.89,12,49,6.73,scattered clouds
11,Provideniya,RU,64.3833,-173.3,-4.58,86,26,6.71,scattered clouds
12,Port Moresby,PG,-9.4431,147.1797,77.0,94,40,3.44,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,55.99,79,51,10.0,broken clouds
14,Boda,CF,4.3189,17.4695,86.95,34,80,3.0,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,76.62,70,29,15.84,light rain
16,Mashhad,IR,36.297,59.6062,50.0,71,75,6.91,broken clouds
17,Bengkulu,ID,-3.8004,102.2655,76.44,87,100,8.97,overcast clouds
18,Georgetown,MY,5.4112,100.3354,84.99,83,20,4.45,heavy intensity rain
19,Punta Arenas,CL,-53.15,-70.9167,48.2,53,0,17.27,clear sky
20,Kieta,PG,-6.2167,155.6333,77.81,84,96,4.52,light rain
21,Ushuaia,AR,-54.8,-68.3,48.2,53,20,2.3,few clouds
22,Portland,US,45.5234,-122.6762,55.0,62,75,10.36,broken clouds
23,Bambous Virieux,MU,-20.3428,57.7575,81.0,74,14,5.99,few clouds
24,Iralaya,HN,15.0,-83.2333,77.0,94,90,13.8,light intensity drizzle
25,Norden,DE,53.6,7.2,45.0,83,77,5.01,broken clouds
26,Atuona,PF,-9.8,-139.0333,80.4,81,59,11.63,broken clouds
27,Bloomfield,US,40.8068,-74.1854,62.01,33,20,5.75,few clouds
28,Lompoc,US,34.6391,-120.4579,60.01,71,43,5.75,scattered clouds
29,Vaini,TO,-21.2,-175.2,71.6,88,75,5.75,broken clouds
30,Kavieng,PG,-2.5744,150.7967,77.88,86,100,5.59,light rain
31,Rockland,US,41.1668,-74.0496,59.0,36,50,1.01,scattered clouds
32,Bud,US,39.447,-86.1758,69.01,37,1,7.72,clear sky
33,Savonlinna,FI,61.8699,28.88,42.8,65,0,12.66,clear sky
34,Lorengau,PG,-2.0226,147.2712,80.19,81,99,5.3,overcast clouds
35,Matara,LK,5.9485,80.5353,76.73,86,79,7.83,broken clouds
36,Korla,CN,41.7597,86.1469,50.07,31,0,16.87,clear sky
37,Vardo,NO,70.3705,31.1107,35.6,87,75,21.85,broken clouds
38,Ahipara,NZ,-35.1667,173.1667,58.24,86,26,4.56,scattered clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,20,14.97,mist
40,Khatanga,RU,71.9667,102.5,-15.56,90,10,6.51,clear sky
41,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,89,8.05,overcast clouds
42,Bac Lieu,VN,9.285,105.7244,81.52,78,60,10.38,broken clouds
43,Wilmington,US,34.2257,-77.9447,71.01,23,1,9.22,clear sky
44,Bustamante,MX,26.5333,-100.5,66.11,71,100,4.05,overcast clouds
45,Gemena,CD,3.25,19.7667,79.97,61,98,3.29,overcast clouds
46,Cape Town,ZA,-33.9258,18.4232,70.0,83,20,16.11,few clouds
47,Hilo,US,19.7297,-155.09,69.8,83,20,4.61,few clouds
48,Bumba,CD,2.1833,22.4667,78.3,72,94,3.15,overcast clouds
49,Mount Isa,AU,-20.7333,139.5,71.6,68,40,5.75,scattered clouds
50,Hithadhoo,MV,-0.6,73.0833,83.93,72,79,18.12,broken clouds
51,Dongobesh,TZ,-4.0667,35.3833,58.21,90,95,6.24,overcast clouds
52,Kentau,KZ,43.5206,68.5094,45.39,82,98,15.93,overcast clouds
53,Husavik,IS,66.0449,-17.3389,15.8,86,90,18.41,light snow
54,Saldanha,ZA,-33.0117,17.9442,68.0,77,52,13.8,broken clouds
55,Dikson,RU,73.5069,80.5464,7.99,94,100,8.48,light snow
56,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,18.41,broken clouds
57,Carnarvon,AU,-24.8667,113.6333,77.0,78,30,17.27,scattered clouds
58,Ponta Do Sol,PT,32.6667,-17.1,64.4,59,75,2.3,broken clouds
59,Kaitangata,NZ,-46.2817,169.8464,61.0,50,32,11.01,scattered clouds
